Line_ID,Order_ID,Order_Date,Ship_Date,Lead_Time,Lead_Speed,Ship_Mode,Customer_ID,Customer_Name,Segment,City,State,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Is_Discounted,Profit,Year,Month_Num,Month_Name,Profit_Margin,Profit_per_Unit
11,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"$1,706.18",9,0.20,Yes,$85.31,2014,06,June,0.05,$9.48
12,CA-2014-115812,2014-06-09,2014-06-14,5,OK,Standard Class,BH-11710,Brosina Hoffman,Consumer,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,$911.42,4,0.20,Yes,$68.36,2014,06,June,0.08,$17.09
13,CA-2017-114412,2017-04-15,2017-04-20,5,OK,Standard Class,AA-10480,Andrew Allen,Consumer,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55,3,0.20,Yes,$5.44,2017,04,April,0.35,$1.81
14,CA-2016-161389,2016-12-05,2016-12-10,5,OK,Standard Class,IM-15070,Irene Maddox,Consumer,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98,3,0.20,Yes,$132.59,2016,12,December,0.33,$44.20
15,US-2015-118983,2015-11-22,2015-11-26,4,OK,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81,5,0.80,Yes,-$123.86,2015,11,November,-1.80,-$24.77
16,US-2015-118983,2015-11-22,2015-11-26,4,OK,Standard Class,HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54,3,0.80,Yes,-$3.82,2015,11,November,-1.50,-$1.27
17,CA-2014-105893,2014-11-11,2014-11-18,7,SLOW,Standard Class,PK-19075,Pete Kriz,Consumer,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88,6,0.00,No,$13.32,2014,11,November,0.02,$2.22
18,CA-2014-167164,2014-05-13,2014-05-15,2,FAST,Second Class,AG-10270,Alejandro Grove,Consumer,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50,2,0.00,No,$9.99,2014,05,May,0.18,$5.00
19,CA-2014-143336,2014-08-27,2014-09-01,5,OK,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56,2,0%,No,$2.48,2014,08,August,0.29,$1.24
20,CA-2014-143336,2014-08-27,2014-09-01,5,OK,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48,3,20%,Yes,$16.01,2014,08,August,0.08,$5.34
21,CA-2014-143336,2014-08-27,2014-09-01,5,OK,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72,4,20%,Yes,$7.38,2014,08,August,0.33,$1.85
22,CA-2016-137330,2016-12-09,2016-12-13,4,OK,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46,7,0%,No,$5.06,2016,12,December,0.26,$0.72
23,CA-2016-137330,2016-12-09,2016-12-13,4,OK,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34,7,0%,No,$15.69,2016,12,December,0.26,$2.24
24,US-2017-156909,2017-07-16,2017-07-18,2,FAST,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37,2,0.30,Yes,-$1.02,2017,07,July,-0.01,-$0.51
25,CA-2015-106320,2015-09-25,2015-09-30,5,OK,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63",3,0%,No,$240.26,2015,09,September,0.23,$80.09
26,CA-2016-121755,2016-01-16,2016-01-20,4,OK,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65,2,20%,Yes,$4.22,2016,01,January,0.36,$2.11
27,CA-2016-121755,2016-01-16,2016-01-20,4,OK,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57,3,0%,No,$11.77,2016,01,January,0.13,$3.92
28,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43",7,50%,Yes,"-$1,665.05",2015,09,September,-0.54,-$237.86
29,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62,2,70%,Yes,-$7.05,2015,09,September,-0.73,-$3.53
30,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20,3,20%,Yes,$15.53,2015,09,September,0.13,$5.18
31,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26,2,20%,Yes,$1.10,2015,09,September,0.34,$0.55
32,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30,6,20%,Yes,$9.71,2015,09,September,0.11,$1.62
33,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86,6,70%,Yes,-$5.72,2015,09,September,-0.83,-$0.95
34,US-2015-150630,2015-09-17,2015-09-21,4,OK,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76,2,20%,Yes,$3.55,2015,09,September,0.23,$1.77
35,CA-2017-107727,2017-10-19,2017-10-23,4,OK,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,$29.47,3,20%,Yes,$9.95,2017,10,October,0.34,$3.32
36,CA-2016-117590,2016-12-08,2016-12-10,2,FAST,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54",7,0.20,Yes,$123.47,2016,12,December,0.11,$17.64
37,CA-2016-117590,2016-12-08,2016-12-10,2,FAST,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92,5,0.60,Yes,-$147.96,2016,12,December,-0.78,-$29.59
38,CA-2015-117415,2015-12-27,2015-12-31,4,OK,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33,9,20%,Yes,$35.42,2015,12,December,0.31,$3.94
39,CA-2015-117415,2015-12-27,2015-12-31,4,OK,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40,3,32%,Yes,-$46.98,2015,12,December,-0.09,-$15.66
40,CA-2015-117415,2015-12-27,2015-12-31,4,OK,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06,3,30%,Yes,-$15.15,2015,12,December,-0.07,-$5.05
41,CA-2015-117415,2015-12-27,2015-12-31,4,OK,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17,4,20%,Yes,$41.76,2015,12,December,0.11,$10.44
42,CA-2017-120999,2017-09-10,2017-09-15,5,OK,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17,4,20%,Yes,$16.56,2017,09,September,0.11,$4.14
43,CA-2016-101343,2016-07-17,2016-07-22,5,OK,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88,2,0%,No,$3.89,2016,07,July,0.05,$1.95
44,CA-2017-139619,2017-09-19,2017-09-23,4,OK,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62,2,20%,Yes,$9.56,2017,09,September,0.10,$4.78
45,CA-2016-118255,2016-03-11,2016-03-13,2,FAST,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98,2,0.00,No,$19.77,2016,03,March,0.43,$9.89
46,CA-2016-118255,2016-03-11,2016-03-13,2,FAST,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46,2,0.00,No,$8.21,2016,03,March,0.47,$4.10
47,CA-2014-146703,2014-10-20,2014-10-25,5,OK,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96,4,0%,No,$8.48,2014,10,October,0.04,$2.12
48,CA-2016-169194,2016-06-20,2016-06-25,5,OK,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00,3,0%,No,$4.95,2016,06,June,0.11,$1.65
49,CA-2016-169194,2016-06-20,2016-06-25,5,OK,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80,2,0%,No,$6.10,2016,06,June,0.28,$3.05
50,CA-2015-115742,2015-04-18,2015-04-22,4,OK,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22,6,0%,No,$17.96,2015,04,April,0.47,$2.99
51,CA-2015-115742,2015-04-18,2015-04-22,4,OK,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18,6,0%,No,$35.33,2015,04,April,0.47,$5.89
52,CA-2015-115742,2015-04-18,2015-04-22,4,OK,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16,2,0%,No,$2.96,2015,04,April,0.48,$1.48
53,CA-2015-115742,2015-04-18,2015-04-22,4,OK,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99,1,0%,No,$17.10,2015,04,April,0.19,$17.10
54,CA-2016-105816,2016-12-11,2016-12-17,6,SLOW,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26,7,0%,No,$6.26,2016,12,December,0.41,$0.89
55,CA-2016-105816,2016-12-11,2016-12-17,6,SLOW,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95",5,0%,No,$298.69,2016,12,December,0.29,$59.74
56,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56,6,0.00,No,$52.14,2016,06,June,0.25,$8.69
57,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40,5,0.00,No,$15.55,2016,06,June,0.48,$3.11
58,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41,5,0.10,Yes,$7.10,2016,06,June,0.02,$1.42
59,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56,2,0.00,No,$6.99,2016,06,June,0.48,$3.49
60,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00,2,0.00,No,$3.30,2016,06,June,0.11,$1.65
61,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48,4,0.20,Yes,$16.36,2016,06,June,0.34,$4.09
62,CA-2016-111682,2016-06-17,2016-06-18,1,FAST,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68,1,0.00,No,$0.84,2016,06,June,0.50,$0.84
63,CA-2015-135545,2015-11-24,2015-11-30,6,SLOW,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98,2,0%,No,$6.15,2015,11,November,0.44,$3.08
64,CA-2015-135545,2015-11-24,2015-11-30,6,SLOW,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82,6,20%,Yes,$9.36,2015,11,November,0.36,$1.56
65,CA-2015-135545,2015-11-24,2015-11-30,6,SLOW,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73,3,0%,No,$68.96,2015,11,November,0.47,$22.99
66,CA-2015-135545,2015-11-24,2015-11-30,6,SLOW,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76,4,0%,No,$22.33,2015,11,November,0.28,$5.58
67,US-2015-164175,2015-04-30,2015-05-05,5,OK,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12,5,30%,Yes,-$15.22,2015,04,April,-0.07,-$3.04
68,CA-2014-106376,2014-12-05,2014-12-10,5,OK,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02",8,20%,Yes,$111.30,2014,12,December,0.10,$13.91
69,CA-2014-106376,2014-12-05,2014-12-10,5,OK,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97,4,20%,Yes,$62.99,2014,12,December,0.38,$15.75
70,CA-2016-119823,2016-06-04,2016-06-06,2,FAST,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88,2,0.00,No,$35.66,2016,06,June,0.47,$17.83
71,CA-2016-106075,2016-09-18,2016-09-23,5,OK,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62,1,20%,Yes,$1.73,2016,09,September,0.38,$1.73
72,CA-2017-114440,2017-09-14,2017-09-17,3,OK,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05,3,0%,No,$8.76,2017,09,September,0.46,$2.92
73,US-2015-134026,2015-04-26,2015-05-02,6,SLOW,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94,8,20%,Yes,-$114.39,2015,04,April,-0.14,-$14.30
74,US-2015-134026,2015-04-26,2015-05-02,6,SLOW,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04,2,20%,Yes,$1.21,2015,04,April,0.01,$0.61
75,US-2015-134026,2015-04-26,2015-05-02,6,SLOW,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78,1,20%,Yes,-$18.20,2015,04,April,-0.25,-$18.20
76,US-2017-118038,2017-12-09,2017-12-11,2,FAST,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25,3,0.80,Yes,-$1.93,2017,12,December,-1.55,-$0.64
77,US-2017-118038,2017-12-09,2017-12-11,2,FAST,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71,3,0.60,Yes,-$5.82,2017,12,December,-0.60,-$1.94
78,US-2017-118038,2017-12-09,2017-12-11,2,FAST,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24,3,0.20,Yes,$2.72,2017,12,December,0.10,$0.91
79,US-2014-147606,2014-11-26,2014-12-01,5,OK,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30,5,60%,Yes,-$14.48,2014,11,November,-0.75,-$2.90
80,CA-2016-127208,2016-06-12,2016-06-15,3,OK,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16,1,0%,No,$56.20,2016,06,June,0.27,$56.20
81,CA-2016-127208,2016-06-12,2016-06-15,3,OK,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74,3,0%,No,$8.04,2016,06,June,0.48,$2.68
82,CA-2014-139451,2014-10-12,2014-10-16,4,OK,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90,5,0%,No,$4.17,2014,10,October,0.28,$0.83
83,CA-2014-139451,2014-10-12,2014-10-16,4,OK,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39,1,0%,No,$6.20,2014,10,October,0.29,$6.20
84,CA-2015-149734,2015-09-03,2015-09-08,5,OK,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98,7,20%,Yes,$62.81,2015,09,September,0.31,$8.97
85,US-2017-119662,2017-11-13,2017-11-16,3,OK,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38,3,20%,Yes,-$48.95,2017,11,November,-0.21,-$16.32
86,CA-2017-140088,2017-05-28,2017-05-30,2,FAST,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96,2,0.00,No,$33.22,2017,05,May,0.11,$16.61
87,CA-2017-155558,2017-10-26,2017-11-02,7,SLOW,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99,1,0%,No,$6.80,2017,10,October,0.34,$6.80
88,CA-2017-155558,2017-10-26,2017-11-02,7,SLOW,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,$6.16,2,0%,No,$2.96,2017,10,October,0.48,$1.48
89,CA-2016-159695,2016-04-05,2016-04-10,5,OK,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37,7,20%,Yes,$13.86,2016,04,April,0.09,$1.98
90,CA-2016-109806,2016-09-17,2016-09-22,5,OK,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10,3,0%,No,$6.63,2016,09,September,0.33,$2.21
91,CA-2016-109806,2016-09-17,2016-09-22,5,OK,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$73.58,2,20%,Yes,$8.28,2016,09,September,0.11,$4.14
92,CA-2016-109806,2016-09-17,2016-09-22,5,OK,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,$6.48,1,0%,No,$3.11,2016,09,September,0.48,$3.11
